Name,SMILES,Binary_efficiency,Lipid_ratio,Chol_ratio,Helper_ratio,PEG-ratio
acs.nanolett.9b04246-C12-8,CCCCCCCCCCC(O)CN(CC(O)CCCCCCCCCC)C1CCC(N(CC2)CCN2CCN(CC(O)CCCCCCCCCC)C3CCC(N(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC3)CC1,1,35,46.5,16,2.5
acs.nanolett.9b04246-C14-1,CCCCCCCCCCCCC(O)CN(CC(O)CCCCCCCCCCCC)CCCN1CCN(CCCN2CCN(CC2)CCN(CC(O)CCCCCCCCCCCC)CCCN3CCN(CC3)CCCN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC)CC1,1,35,46.5,16,2.5
acs.nanolett.9b04246-C14-2,CCCCCCCCCCCCC(O)CN(CC(O)CCCCCCCCCCCC)CCOCCOCCN(CC(O)CCCCCCCCCCCC)CCN1CCN(CC1)CCOCCOCCN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC,1,35,46.5,16,2.5
acs.nanolett.9b04246-C14-3,CCCCCCCCCCCCC(O)CN(CC(O)CCCCCCCCCCCC)CCCCCCCCCCN(CC(O)CCCCCCCCCCCC)CCN1CCN(CCCCCCCCCCN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC)CC1,0,35,46.5,16,2.5
acs.nanolett.9b04246-C14-4,CCCCCCCCCCCCC(O)CN(CC(O)CCCCCCCCCCCC)CCOCCN(CC(O)CCCCCCCCCCCC)CCN1CCN(CC1)CCOCCN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC,1,35,46.5,16,2.5
acs.nanolett.9b04246-C14-5,CCCCCCCCCCCCC(O)CN(CC(O)CCCCCCCCCCCC)CCCOCCOCCOCCCN(CC(O)CCCCCCCCCCCC)CCN1CCN(CC1)CCCOCCOCCOCCCN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC,1,35,46.5,16,2.5
acs.nanolett.9b04246-C14-6,CCOC(CN(CC(O)CCCCCCCCCCCC)CCN(CC1)CCN1CC(OCC)CN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC)CN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC,0,35,46.5,16,2.5
acs.nanolett.9b04246-C14-7,CCCCCCCCCCCCC(O)CN(CCN2CCN(CC1(CN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC)CCCCC1)CC2)CC3(CN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC)CCCCC3,0,35,46.5,16,2.5
acs.nanolett.9b04246-C14-8,OC(CCCCCCCCCCCC)CN(CC(O)CCCCCCCCCCCC)C1CCC(N(CC2)CCN2CCN(CC(O)CCCCCCCCCCCC)C3CCC(N(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC)CC3)CC1,0,35,46.5,16,2.5
acs.nanolett.9b04246-C16-1,CCCCCCCCCCCCCCC(O)CN(CC(O)CCCCCCCCCCCCCC)CCCN1CCN(CCCN2CCN(CC2)CCN(CC(O)CCCCCCCCCCCCCC)CCCN3CCN(CC3)CCCN(CC(O)CCCCCCCCCCCCCC)CC(O)CCCCCCCCCCCCCC)CC1,1,35,46.5,16,2.5
acs.nanolett.9b04246-C16-2,CCCCCCCCCCCCCCC(O)CN(CC(O)CCCCCCCCCCCCCC)CCOCCOCCN(CC(O)CCCCCCCCCCCCCC)CCN1CCN(CC1)CCOCCOCCN(CC(O)CCCCCCCCCCCCCC)CC(O)CCCCCCCCCCCCCC,1,35,46.5,16,2.5
acs.nanolett.9b04246-C16-3,CCCCCCCCCCCCCCC(O)CN(CC(O)CCCCCCCCCCCCCC)CCCCCCCCCCN(CC(O)CCCCCCCCCCCCCC)CCN1CCN(CCCCCCCCCCN(CC(O)CCCCCCCCCCCCCC)CC(O)CCCCCCCCCCCCCC)CC1,0,35,46.5,16,2.5
acs.nanolett.9b04246-C16-4,CCCCCCCCCCCCCCC(O)CN(CC(O)CCCCCCCCCCCCCC)CCOCCN(CC(O)CCCCCCCCCCCCCC)CCN1CCN(CC1)CCOCCN(CC(O)CCCCCCCCCCCCCC)CC(O)CCCCCCCCCCCCCC,0,35,46.5,16,2.5
acs.nanolett.9b04246-C16-5,CCCCCCCCCCCCCCC(O)CN(CC(O)CCCCCCCCCCCCCC)CCCOCCOCCOCCCN(CC(O)CCCCCCCCCCCCCC)CCN1CCN(CC1)CCCOCCOCCOCCCN(CC(O)CCCCCCCCCCCCCC)CC(O)CCCCCCCCCCCCCC,0,35,46.5,16,2.5
acs.nanolett.9b04246-C16-6,CCOC(CN(CC(O)CCCCCCCCCCCCCC)CCN(CC1)CCN1CC(OCC)CN(CC(O)CCCCCCCCCCCCCC)CC(O)CCCCCCCCCCCCCC)CN(CC(O)CCCCCCCCCCCCCC)CC(O)CCCCCCCCCCCCCC,0,35,46.5,16,2.5
